0.000 52.536
0.033 52.464
0.067 52.726
0.100 53.083
0.133 53.048
0.167 53.000
0.200 53.024
0.233 52.929
0.267 53.000
0.300 52.952
0.333 52.905
0.367 53.048
0.400 52.893
0.433 53.071
0.467 53.190
0.500 53.310
0.533 53.214
0.567 53.143
0.600 53.190
0.633 53.274
0.667 53.155
0.700 53.262
0.733 53.060
0.767 53.000
0.800 53.071
0.833 53.119
0.867 53.143
0.900 53.179
0.933 53.321
0.967 53.345
1.000 53.321
1.033 53.298
1.067 53.250
1.100 52.929
1.133 53.036
1.167 52.952
1.200 53.095
1.233 53.095
1.267 53.179
1.300 53.274
1.333 53.560
1.367 53.405
1.400 53.179
1.433 53.179
1.467 53.107
1.500 52.988
1.533 53.119
1.567 53.214
1.600 53.274
1.633 53.190
1.667 53.071
1.700 53.024
1.733 53.024
1.767 53.250
1.800 53.262
1.833 53.381
1.867 53.286
1.900 53.238
1.933 53.155
1.967 52.893
2.000 53.024
2.033 53.119
2.067 53.214
2.100 53.167
2.133 53.238
2.167 53.274
2.200 53.095
2.233 53.119
2.267 52.988
2.300 53.060
2.333 53.012
2.367 52.976
2.400 52.940
2.433 53.095
2.467 53.131
2.500 53.214
2.533 53.060
2.567 53.107
2.600 53.274
2.633 53.143
2.667 53.286
2.700 53.214
2.733 53.060
2.767 53.131
2.800 52.988
2.833 52.869
2.867 53.048
2.900 52.762
2.933 52.786
2.967 52.917
3.000 52.821
3.033 53.083
3.067 53.036
